Conference,Year,Paper Title,Paper DOI,Link,IEEE XPLORE Article Number,"Paper type: C=conference paper, T = TVCG journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Names,Author IDs,Deduped author names,filename,Citations
InfoVis,2009,Towards Utilizing GPUs in Information Visualization: A Model and Implementation of Image-Space Operations,10.1109/TVCG.2009.191,http://dx.doi.org/10.1109/TVCG.2009.191,5290718,T,"McDonnel, B.;Elmqvist, N.",37590945700;37295438200,"McDonnel, B.;Elmqvist, N.",mcdonnel_infovis_09,1382904;1372194;1173156;4389013;4376155;729560;636792
InfoVis,2009,Visual Analysis of Inter-Process Communication for Large-Scale Parallel Computing,10.1109/TVCG.2009.196,http://dx.doi.org/10.1109/TVCG.2009.196,5290721,T,"Muelder, C.;Gygi, F.;Kwan-Liu Ma",37299311900;37399379400;37275869400,"Muelder, C.;Gygi, F.;Kwan-Liu Ma",muelder_infovis_09,1532138;1173155;1382889
InfoVis,2009,Visualizing Social Photos on a Hasse Diagram for Eliciting Relations and Indexing New Photos,10.1109/TVCG.2009.201,http://dx.doi.org/10.1109/TVCG.2009.201,5290703,T,"Crampes, M.;de Oliveira-Kumar, J.;Ranwez, S.;Villerd, J.",38108840900;38108840700;38108835500;37697469600,"Crampes, M.;de Oliveira-Kumar, J.;Ranwez, S.;Villerd, J.",crampes_infovis_09,
InfoVis,2009,Visualizing the Intellectual Structure with Paper-Reference Matrices,10.1109/TVCG.2009.202,http://dx.doi.org/10.1109/TVCG.2009.202,5290724,T,"Jian Zhang;Chen, C.;Jiexun Li",38108288000;37280749300;37676324000,"Jian Zhang;Chen, C.;Jiexun Li",zhang_infovis_09,885091;4658133;4658140;4658127;1382909;4658142;175815
InfoVis,2008,A Framework of Interaction Costs in Information Visualization,10.1109/TVCG.2008.109,http://dx.doi.org/10.1109/TVCG.2008.109,4658124,T,"Lam, H.",37873130000,"Lam, H.",lam_infovis_08,963289;1249020;1532151;1382899;4015436;1382884;4376144;4015416;1532133;1382900;1532126;4035752;346302;4376132;1532132;729560;4376151
InfoVis,2008,Balloon Focus: a Seamless Multi-Focus+Context Method for Treemaps,10.1109/TVCG.2008.114,http://dx.doi.org/10.1109/TVCG.2008.114,4658125,T,Ying Tu;Han-Wei Shen,37875062100;37279493500,Ying Tu;Han-Wei Shen,tu_infovis_08,885091;963278;1532148;1173156;559214;729558;1532132;1382906;1173151
InfoVis,2008,Cerebral: Visualizing Multiple Experimental Conditions on a Graph with Biological Context,10.1109/TVCG.2008.117,http://dx.doi.org/10.1109/TVCG.2008.117,4658137,T,"Barsky, A.;Munzner, T.;Gardy, J.;Kincaid, R.",37869962900;37349490300;37869963200;37587984100,"Barsky, A.;Munzner, T.;Gardy, J.;Kincaid, R.",barsky_infovis_08,1532151;4015435;4015424
InfoVis,2008,Distributed Cognition as a Theoretical Framework for Information Visualization,10.1109/TVCG.2008.121,http://dx.doi.org/10.1109/TVCG.2008.121,4658127,T,"Zhicheng Liu;Nersessian, N.J.;Stasko, J.T.",37592993600;37412991300;37267736900,"Zhicheng Liu;Nersessian, N.J.;Stasko, J.",liu_infovis_08,4376144;4376131;4389006;885092
InfoVis,2008,Effectiveness of Animation in Trend Visualization,10.1109/TVCG.2008.125,http://dx.doi.org/10.1109/TVCG.2008.125,4658146,T,"Robertson, G.;Fernandez, R.;Fisher, D.;Bongshin Lee;Stasko, J.",37448060300;37603822300;37542391000;37293389400;37267736900,"Robertson, G.;Fernandez, R.;Fisher, D.;Bongshin Lee;Stasko, J.",robertso_infovis_08,801854;4376146
InfoVis,2008,EMDialog: Bringing Information Visualization into the Museum,10.1109/TVCG.2008.127,http://dx.doi.org/10.1109/TVCG.2008.127,4658128,T,"Hinrichs, U.;Schmidt, H.;Carpendale, S.",37869968000;37874733000;37285000100,"Hinrichs, U.;Schmidt, H.;Carpendale, S.",hinrichs_infovis_08,4376134;1382897;1249031;1532122;4376145
