1e journée, samedi 11/08/2012
Rennes, St Etienne, 2-2
Paris SG, Nancy, 2-1
Valenciennes, Lille, 1-3
Troyes, Reims, 4-2
Brest, Toulouse, 0-1
Evian TG, Sochaux, 5-1
AC Ajaccio, Lorient, 1-0
Nice, Montpellier, 2-0
Bordeaux, Bastia, 1-0
Lyon, Marseille, 0-0

29e journée, samedi 16/03/2013
Marseille, AC Ajaccio, 0-0
Bastia, Lyon, 4-1
Lille, Evian TG, 1-2
Montpellier, Troyes, 1-1
Reims, Rennes, 1-0
Lorient, Brest, 4-0
Sochaux, Valenciennes, 1-1
Nancy, Nice, 1-0
Toulouse, Bordeaux, 0-0
St Etienne, Paris SG, 2-2

30e journée, samedi 30/03/2013
Paris SG, Montpellier, 1-0
Troyes, St Etienne, 2-2
Bordeaux, Lorient, 1-1
Rennes, Nancy, 0-2
AC Ajaccio, Toulouse, 2-3
Evian TG, Reims, 2-2
Valenciennes, Bastia, 3-4
Nice, Marseille, 0-1
Brest, Lille, 1-2
Lyon, Sochaux, 1-2

31e journée, samedi 06/04/2013
Marseille, Bordeaux, 1-0
Rennes, Paris SG, 0-2
Montpellier, Valenciennes, 3-1
Nancy, Troyes, 1-0
Toulouse, Nice, 3-4
Sochaux, AC Ajaccio, 0-0
Bastia, Brest, 4-0
St Etienne, Evian TG, 1-0
Reims, Lyon, 1-0
Lille, Lorient, 5-0

32e journée, samedi 13/04/2013
Valenciennes, St Etienne, 0-0
Troyes, Paris SG, 0-1
Bordeaux, Montpellier, 4-2
Evian TG, Rennes, 4-2
Lorient, Bastia, 4-1
AC Ajaccio, Nancy, 1-1
Brest, Reims, 0-2
Nice, Sochaux, 3-0
Lyon, Toulouse, 3-1
Lille, Marseille, 0-0

33e journée, dimanche 21/04/2013
Montpellier, Lyon, 1-2
Marseille, Brest, 1-0
Bastia, Lille, 1-2
Sochaux, Bordeaux, 2-2
Toulouse, Lorient, 0-1
Nancy, Evian TG, 3-1
Reims, Valenciennes, 0-1
Paris SG, Nice, 3-0
Rennes, Troyes, 1-2
St Etienne, AC Ajaccio, 4-2

34e journée, samedi 27/04/2013
Lille, Sochaux, 3-3
Lorient, Marseille, 0-1
Bordeaux, Reims, 0-0
AC Ajaccio, Montpellier, 2-1
Brest, Rennes, 0-2
Bastia, Toulouse, 0-0
Valenciennes, Nancy, 0-0
Lyon, St Etienne, 1-1
Nice, Troyes, 3-1
Evian TG, Paris SG, 0-1

35e journée, samedi 04/05/2013
St Etienne, Bordeaux, 0-0
Marseille, Bastia, 2-1
Toulouse, Lille, 4-2
Montpellier, Brest, 2-1
Troyes, Evian TG, 1-0
Sochaux, Lorient, 1-0
Reims, AC Ajaccio, 1-1
Rennes, Nice, 0-3
Nancy, Lyon, 0-3
Paris SG, Valenciennes, 1-1

36e journée, samedi 11/05/2013
Lille, Reims, 3-0
Marseille, Toulouse, 2-1
Bordeaux, Nancy, 3-2
Bastia, Montpellier, 3-1
Valenciennes, Rennes, 4-1
AC Ajaccio, Troyes, 0-1
Brest, Sochaux, 0-2
Lorient, St Etienne, 3-1
Evian TG, Nice, 4-0
Lyon, Paris SG, 0-1

37e journée, samedi 18/05/2013
St Etienne, Marseille, 2-0
Montpellier, Lille, 0-0
Paris SG, Brest, 3-1
Troyes, Bordeaux, 1-0
Sochaux, Toulouse, 1-2
Rennes, AC Ajaccio, 1-1
Reims, Lorient, 1-0
Evian TG, Valenciennes, 2-0
Nancy, Bastia, 1-2
Nice, Lyon, 1-1

38e journée, dimanche 26/05/2013
Lille, St Etienne, 1-1
Lyon, Rennes, 2-0
Lorient, Paris SG, 1-3
Marseille, Reims, 0-0
Bordeaux, Evian TG, 2-1
Toulouse, Montpellier, 2-0
Valenciennes, Troyes, 2-1
AC Ajaccio, Nice, 0-2
Brest, Nancy, 1-2
Bastia, Sochaux, 0-0
