Conference,Year,"Panel, Keynote, Captstone, Demo, Poster, ...","Paper type: C=conference paper, T = TVCG journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Names,Author IDs,IEEE Xplore Number Guessed,Deduped author names,filename,References,
VAST,2014,,T,"Sacha, D.;Stoffel, A.;Stoffel, F.;Bum Chul Kwon;Ellis, G.;Keim, D.A.",;;;;;,,"Sacha, D.;Stoffel, A.;Stoffel, F.;Bum Chul Kwon;Ellis, G.;Keim, D.A.",sacha_vast_14,1532781;6634168;5333023;6064985;4658124;4677361;4677365;5652879;6327297;4677358;4658127;4389006;6102435;6634156,
VAST,2014,,T,"Krause, J.;Perer, A.;Bertini, E.",;;,,"Krause, J.;Perer, A.;Bertini, E.",krause_vast_14,1382893;5332586;1532142;6064985;6102448;1249015;6065027;6102453;6634169;5290704;5652443,
VAST,2014,,T,"Tuan Nhon Dang;Wilkinson, L.",;,,"Tuan Nhon Dang;Wilkinson, L.",dang_vast_14,4015420;1532142;6634178;6064993;4035766;5613439;6102437;4389006,
VAST,2014,,T,"Mahyar, N.;Tory, M.",;,,"Mahyar, N.;Tory, M.",mahyar_vast_14,5333245;4035757;4677358;6634130;6102438;5333878;4035747;4389011;4389006;6102447,
VAST,2014,,T,"Muhlbacher, T.;Piringer, H.;Gratzl, S.;Sedlmair, M.;Streit, M.",;;;;,,"Muhlbacher, T.;Piringer, H.;Gratzl, S.;Sedlmair, M.;Streit, M.",muhlbacher_vast_14,6400486;4388999;6102449;4376144;5290697;6876043;4677350;4015496;6634167;6634169;1173145;5290719;1382891;6102453;6327292;1249014;6064985,
VAST,2014,,T,"Stolper, C.D.;Perer, A.;Gotz, D.",;;,,"Stolper, C.D.;Perer, A.;Gotz, D.",stolper_vast_14,4035762;6634152;5290711;6065010;1532133;6327272;6634137;885097;6634100,
VAST,2014,,T,"Brown, E.T.;Ottley, A.;Zhao, H.;Quan Lin;Souvenir, R.;Endert, A.;Chang, R.",;;;;;;,,"Brown, E.T.;Ottley, A.;Zhao, H.;Quan Lin;Souvenir, R.;Endert, A.;Chang, R.",brown_vast_14,6327275;5653587;5333020;6400486;1532788;6327295;4035754;4677352,
VAST,2014,,T,"Klemm, P.;Oeltze-Jafra, S.;Lawonn, K.;Hegenscheid, K.;Volzke, H.;Preim, B.",;;;;;,,"Klemm, P.;Oeltze-Jafra, S.;Lawonn, K.;Hegenscheid, K.;Volzke, H.;Preim, B.",klemm_vast_14,6634192;6064996;885739;6064951;4376166,
VAST,2014,,T,Haidong Chen;Wei Chen;Honghui Mei;Zhiqi Liu;Kun Zhou;Weifeng Chen;Wentao Gu;Kwan-Liu Ma,;;;;;;;,,Haidong Chen;Wei Chen;Honghui Mei;Zhiqi Liu;Kun Zhou;Weifeng Chen;Wentao Gu;Kwan-Liu Ma,chen_vast_14,6634155;4658159;745301;4658154;5613442;4015436;4376150;6634151;1382898;5652460;5290758;5290706;6065019;6327254;5613435;6634167;6064975;4658123;6634120,
VAST,2014,,T,"Beham, M.;Herzner, W.;Groller, M.E.;Kehrer, J.",;;;,,"Beham, M.;Herzner, W.;Groller, E.;Kehrer, J.",beham_vast_14,6634138;6634107;5613440;5290748;1532856;5613488;4015425;398859;809866;4376186,
