Conference,Year,IEEE XPLORE Article Number,"Panel, Keynote, Captstone, Demo, Poster, ...","Paper type: C=conference paper, T = TVCG journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",IEEE Xplore Number Guessed,Deduped author names,References,
VAST,2015,7194847,,T,,"Klemm, P.;Lawonn, K.;Glaßer, S.;Niemann, U.;Hegenscheid, K.;Völzke, H.;Preim, B.",6064985;6064996;5333431;6634192;6876009;6634119;6634169;6876043,
VAST,2015,7192662,,T,,"Hua Guo;Gomez, S.R.;Ziemkiewicz, C.;Laidlaw, D.H.",1532136;6875913;7042482;4677365;4658129;5333878;6876022;6327280;4376144,
VAST,2015,7347674,x,M,,"Cook, K.A.;Scholtz, J.;Whiting, M.",,
VAST,2015,7347677,x,M,,"Itoh, M.;Yokoyama, D.;Toyoda, M.;Kitsuregawa, M.",,
VAST,2015,7192694,,T,,Mengchen Liu;Shixia Liu;Xizhou Zhu;Qinying Liao;Furu Wei;Shimei Pan,6634195;6327271;5332611;6634091;6065003;7042494;568116;1532150;5652931;6065022;6875992;6634179;6065021;6876032;5613449;6327258;6634134;6876013,
VAST,2015,7192715,,T,,"Maoyuan Sun;Peng Mi;North, C.;Ramakrishnan, N.",4376140;5290706;4658140;6327277;6327294;1382886;6875920;4376154;4015425;6065003;5333878;6064995;5613440;6875994;5613447;6064990;6875974,
VAST,2015,7192714,,T,,"Ragan, E.D.;Endert, A.;Sanyal, J.;Jian Chen",1532136;1532788;6634189;398857;6400486;6875913;5652932;4677365;4658129;6634108;5333020;5653598;6327266;6875986;4677366;6634181;5613483;5613452;146375,
VAST,2015,7192685,,T,,"Heimerl, F.;Qi Han;Koch, S.",1382937;7192633;4658136;6634167;5333443;6065008;6327277;6634160;6327290;1382934;1532150;5290713;5290722;1532122;528686;6876032;5290724,
VAST,2015,7347627,,C,,"North, S.C.;Scheidegger, C.E.;Urbanek, S.;Woodhull, G.",6064996;4389011;6327298;5290771;4376131,
VAST,2015,7347634,,C,,"Jarema, M.;Demir, I.;Kehrer, J.;Westermann, R.",6875958;5613488;5332611;4015417;6634122;6634106;5613502;6876043,
VAST,2015,7347631,,C,,"Wenwen Dou;Cho, I.;ElTayeby, O.;Jaegul Choo;Xiaoyu Wang;Ribarsky, W.",7042493;6634167;6875938;6102461;6876032,
VAST,2015,7347632,,C,,Qingsong Liu;Yifan Hu;Lei Shi;Xinzhu Mu;Yutao Zhang;Jie Tang,5613445;6065001;6065000,
VAST,2015,7192725,,T,,"Yanhong Wu;Pitipornvivat, N.;Jian Zhao;Sixiao Yang;Guowei Huang;Huamin Qu",6064994;6065001;4015425;6634116,
VAST,2015,7347687,x,M,,"Solteszova, V.;Foscato, M.;Eliasson, S.H.;Jensen, V.R.",,
VAST,2015,7192705,,T,,"Yafeng Lu;Steptoe, M.;Burke, S.;Hong Wang;Jiun-Yi Tsai;Davulcu, H.;Montgomery, D.;Corman, S.R.;Maciejewski, R.",6634112;6102488;6400557;6400485;6634160;4677364;6875996;7042484;6065010;7042494;6400491;5333919;801851;6327272;6876015,
VAST,2015,7347637,,C,,"Brooks, M.;Amershi, S.;Bongshin Lee;Drucker, S.;Kapoor, A.;Simard, P.",5652443,
VAST,2015,7347628,,C,,"Haeyong Chung;North, C.;Joshi, S.H.;Jian Chen",4677358,
VAST,2015,7347633,,C,,Quan Li;Peng Xu;Huamin Qu,4658136;885098;6065021;6876044;963273,
VAST,2015,7347675,x,M,,Haoling Dong;Siliang Tang;Si Li;Fei Wu;Yueting Zhuang,,
VAST,2015,7347626,,C,,"Bryan, C.;Xue Wu;Mniszewski, S.;Kwan-Liu Ma",6102457;729566;6875970;6634169;5613483;6876043;6064952;6327226,
VAST,2015,7347676,x,M,,"Lujan Ganuza, M.;Gargiulo, F.;Ferracutti, G.;Castro, S.;Bjerg, E.;Groller, E.;Matkovic, K.",,
VAST,2015,7192688,,T,,Siming Chen;Xiaoru Yuan;Zhenhuang Wang;Cong Guo;Jie Liang;Zuchao Wang;Xiaolong Zhang;Jiawan Zhang,5332584;4677356;5290694;6064996;6327271;5290710;1382887;1532150;6327262;6876014;6876013,
VAST,2015,7192680,,T,,"Jänicke, S.;Focht, J.;Scheuermann, G.",6102454;5613445;6875900;4376141;5333443;6875938;4658131;6327277;6400485;1532126;6327290;6400491;4389004;6875959;5290695;4015419;5652931;5333023;4389006;5333248;4677370;5652520,
VAST,2015,7347635,,C,,"Splechtna, R.;Matkovic, K.;Gracanin, D.;Jelovic, M.;Hauser, H.",4658193;6876045;6876043;5333081;5613487,
VAST,2015,7192671,,T,,"Hannah Kim;Jaegul Choo;Haesun Park;Endert, A.",6064996;6400486;6634167;5652443;6064997;4658123;6102449;6634124;6875985;146386;6065027;6634163,
VAST,2015,7347630,,C,,"Yu Liang;Wei Wu;Xiaohui Li;Guangxia Li;Wee Siong Ng;See-Kiong Ng;Zhongwen Huang;Arunan, A.;Hui Min Watt",1382887;1173155,
VAST,2015,7192703,,T,,"Sorger, J.;Ortner, T.;Luksch, C.;Schwärzler, M.;Groller, E.;Piringer, H.",6875958;6064996;5613488;6634138;1249032;6634146;5290719;6876043,
VAST,2015,7347625,,C,,"Cook, K.A.;Cramer, N.;Israel, D.;Wolverton, M.;Bruce, J.;Burtner, R.;Endert, A.",6400486;6102438;6400559;6875986;7042492;4658192;6634198,
VAST,2015,7192732,,T,,"von Landesberger, T.;Brodkorb, F.;Roskosch, P.;Andrienko, N.;Andrienko, G.;Kerren, A.",6065021;6065001;6065003;1382908;5290710;6875983;4658146;6875972;801851;6400553;5333893;1532150,
VAST,2015,7194831,,T,,"Sujin Jang;Elmqvist, N.;Ramani, K.",6634102;5290701;6065008;6875996;6327289;6634164;6634100;4015418;1532152;6634089;5613432;1183778;4658133;6327272;6876032,
VAST,2015,7192670,,T,,"Glueck, M.;Hamilton, P.;Chevalier, F.;Breslav, S.;Khan, A.;Wigdor, D.;Brudno, M.",6102439;6634170;6634101;6102438;4658127;5290692;5290690;885091;4376152;1249030;6327270,
VAST,2015,7192717,,T,,"van den Elzen, S.;Holten, D.;Blaas, J.;van Wijk, J.J.",6065001;1382908;6634085;4015425;4015433;4658146;6065027;801851,
VAST,2015,7194834,,T,,"Nguyen, P.H.;Kai Xu;Wheat, A.;Wong, B.L.W.;Attfield, S.;Fields, B.",1532788;6064996;6875913;4677365;4658129;5333020;6634110,
VAST,2015,7347684,x,M,,"Richter, C.;Luboschik, M.;Rohlig, M.;Schumann, H.",,
VAST,2015,7347673,x,M,,"Shenghui Cheng;Yue Wang;Dan Zhang;Zhifang Jiang;Mueller, K.",,
VAST,2015,7347629,,C,,"Rohlig, M.;Luboschik, M.;Kruger, F.;Kirste, T.;Schumann, H.;Bogl, M.;Alsallakh, B.;Miksch, S.",6875942;6065007;6876043;6064952;5290711;5332595,
VAST,2015,7192665,,T,,"Krause, J.;Perer, A.;Stavropoulos, H.",6064996;4389013;4035762;6875996;5652890;6876047;6634100;6634096;5290698;963273;6327272;6634163,
VAST,2015,7185421,,T,,"Nan Cao;Conglei Shi;Lin, S.;Jie Lu;Yu-Ru Lin;Ching-Yung Lin",6327271;4015444;1183816;6876013,
VAST,2015,7194832,,T,,"Alexander, E.;Gleicher, M.",6065006;7042493;6634167;6065008;6327294;885098;6875995;6634134,
VAST,2015,7347683,x,M,,"Reda, K.;Gonzalez, A.;Leigh, J.;Papka, M.E.",,
VAST,2015,7192673,,T,,"Jäckle, D.;Fischer, F.;Schreck, T.;Keim, D.A.",5332593;146402;485140;146386;4376142;5332628,
VAST,2015,7194836,,T,,"Shenghui Cheng;Mueller, K.",6634184;5332629;663916;146402;6065024;636793;5613468,
VAST,2015,7192716,,T,,"Sacha, D.;Senaratne, H.;Bum Chul Kwon;Ellis, G.;Keim, D.A.",6875913;885679;4677385;5332611;6327294;6102473;5333020;6102435;6327255;6875967;4035759,
VAST,2015,7192729,,T,,"Jun Wang;Mueller, K.",1249025;4376148;6327272;4388999,
VAST,2015,7192669,,T,,"Fulda, J.;Brehmer, M.;Munzner, T.",7042493;6064996;6875900;6634168;6400557;6102461;6400485;6634160;6634170;6327293;6876042;6327248;4389006;6327274;6400530;4376131,
VAST,2015,7347682,x,M,,"Polack, P.J.;Shang-Tse Chen;Minsuk Kahng;Sharmin, M.;Duen Horng Chau",,
VAST,2015,7347681,x,M,,"Peter, J.;Szigeti, S.;Jofre, A.;Diamond, S.",,
VAST,2015,7192687,,T,,Xiaoke Huang;Ye Zhao;Jing Yang;Chong Zhang;Chao Ma;Xinyue Ye,5332593;6634127;5290707;6102455;4015419;6327262;6634174;6876014,
VAST,2015,7347688,x,M,,"Yi-Chih Tsai;Liang-Chi Hsieh;Wen-Feng Cheng;Yin-Hsi Kuo;Hsu, W.;Wen-Chin Chen",,
VAST,2015,7347686,x,M,,"di Sciascio, C.;Sabol, V.;Veas, E.",,
VAST,2015,7347636,,C,,"Ferreira, N.;Lage, M.;Doraiswamy, H.;Vo, H.T.;Wilson, L.;Werner, H.;Park, M.;Silva, C.T.",4677356;6875954;4376137;6634127;4376168;6634174;6876029;6876008,
VAST,2015,7347680,x,M,,"Perkins, M.;Yanlai Chen",,
VAST,2015,7192649,,T,,"Blascheck, T.;John, M.;Kurzhals, K.;Koch, S.;Ertl, T.",6327295;6634168;4677361;5333878;6875959;5653598;6327297;1532837,
VAST,2015,7192676,,T,,"Cho, I.;Wewnen Dou;Wang, D.X.;Sauda, E.;Ribarsky, W.",7042493;4389012;6875900;4376141;4658132;5652885;6065008;6400485;6634160;885098;6065010;6875967;885091,
VAST,2015,7192692,,T,,"Papadopoulos, C.;Gutenko, I.;Kaufman, A.",6327295;6327257;6876009;5613504;6876050;885086;1382904,
VAST,2015,7192683,,T,,Bum Chul Kwon;Sung-Hee Kim;Sukwon Lee;Jaegul Choo;Jina Huh;Ji Soo Yi,6875938;6102441;6875946;1249028;5613458;7042494;6876000;5333919;6327248;5290722;5290711;6634134;6400554;7042496;4658138,
VAST,2015,7192633,,T,,"Beck, F.;Koch, S.;Weiskopf, D.",6064994;6327277;7192685;5333564;5613457;4389006;6634163,
VAST,2015,7347679,x,M,,Min Lu;Chufan Lai;Ye Tangzhi;Jie Liang;Xiaoru Yuan,,
VAST,2015,7192719,,T,,"Löwe, T.;Förster, E.-C.;Albuquerque, G.;Kreiss, J.-P.;Magnor, M.",6634112,
VAST,2015,7347678,x,M,,"Leite, R.A.;Gschwandtner, T.;Miksch, S.;Gstrein, E.;Kuntner, J.",,
VAST,2015,7347689,x,M,,Zuchao Wang;Xiaoru Yuan;Ye Tangzhi;Youfeng hao;Siming Chen;Jie Liangk;Qiusheng Li;Haiyang Wang;Yadong Wu,,
VAST,2015,7347685,x,M,,"Samuels, L.R.;Greevy, R.A.",,
VAST,2015,7347671,x,M,,"Anreddy, S.;Song Zhang;Mercer, A.;Dyer, J.;Swan, J.E.",,
VAST,2015,7347672,x,M,,"Bogl, M.;Filzmoser, P.;Gschwandtner, T.;Miksch, S.;Aigner, W.;Rind, A.;Lammarsch, T.",,
VAST,2015,7192706,,T,,"Palomo, C.;Zhan Guo;Silva, C.T.;Freire, J.",1382894;6876004;4376143;6065004;6634127;809866;4658129;5290770;1532138;6065010;4015444;1249005,
VAST,2015,7347624,,C,,"Valdivia, P.;Dias, F.;Petronetto, F.;Silva, C.T.;Nonato, L.G.",4677356;6876004;6634127;885098;6634174,
SciVis,2015,7429504,,M,,"Chitiboi, T.;Neugebauer, M.;Schnell, S.;Markl, M., Linsen, L.",,
SciVis,2015,7429510,,M,,"Liu, R.;Guo, H.;Xiaoru Yuan",,
SciVis,2015,7429485,,C,,"Laha, B.;Bowman, D.A.;Laidlaw, D.H.;Socha, J.J.",1382902;6634168;6327218;5290732;6634181;6634156;6876043;1382903,
SciVis,2015,7429511,,M,,"Livingston, M.A.;Decker, J.W.;Ai, Z.",,
SciVis,2015,7429488,,C,,"Liao, H.;Wu, Y.;Chen, L.;Hamill, T.M.;Wang, Y.;Dai, K.;Zhang, H.;Chen, W.",6634109;6634123;6634188;5290751;4658178;6876041;5613483;346298;6634129,
SciVis,2015,7192678,,T,,"Hermann, M.;Schunke, A.C.;Schultz, T.;Klein, R.",4015467;1183754;6876009;6876018;4015468,
SciVis,2015,7192734,,T,,"Weiss, K.;Lindstrom, P.",5613492;663860;1183810;6064949;568127;5290779,
SciVis,2015,7429507,,M,,"Houde, S.;Bonde, S.;Laidlaw, D.H.",,
SciVis,2015,7194835,,T,,"Byska, J.;Le Muzic, M.;Groller, E.;Viola, I.;Kozlikova, B.",1183754;5290734;6064966;964540,
SciVis,2015,7194844,,T,,"Ament, M.;Dachsbacher, C.",6875905;6634150;6875910;6327241;809886;1250414;6064955;1532772;346331;1183771;6064942;1372186;6327242;567777,
SciVis,2015,7192697,,T,,Xiaotong Liu;Han-Wei Shen,6634187;4376167;4658163;4376165;485139;4015447;6400488;6065027;4389000,
SciVis,2015,7429493,,C,,"Park, S.;Seo, H.;Cha, S.;Noh, J.",1183793;885685;809883,
SciVis,2015,7429509,,M,,"Leidig, J.P.;Dharmapuri, S.",,
SciVis,2015,7192726,,T,,"Lingyun Yu;Efstathiou, K.;Isenberg, P.;Isenberg, T.",4658123;809932;6634108;6327228;559216;6327229;5613504,
SciVis,2015,7192711,,T,,"Oeltze-Jafra, S.;Cebral, J.R.;Janiga, G.;Preim, B.",5290742;6327222;6877722;4015452;1183789;6634153;1372179;4015451;1532830;1532859,
SciVis,2015,7429502,,M,,"Abedzadeh, N.",,
SciVis,2015,7429492,,C,,"Wald, I.;Knoll, A.;Johnson, G.P.;Usher, W.;Pascucci, V.;Papka, M.E.",5613495;5290736;6327210,
SciVis,2015,7192663,,T,,"Kindlmann, G.;Chiw, C.;Seltzer, N.;Samuels, L.;Reppy, J.",5290720;6064996;1532856;6875916;6327233;1250414;809896;4376190;6876040;745290;4658184;4658155,
SciVis,2015,7192664,,T,,"Dutta, S.;Han-Wei Shen",4376176;398877;1372214;6064965;4376165;1250374;6634159;6875975;4376210;567807;745288;4658155;4658174,
SciVis,2015,7194852,,T,,"Lihua Hao;Healey, C.;Bass, S.A.",6875990;1532839;1532838;6876007;5290748;6875964;5613483;6634129,
SciVis,2015,7194846,,T,,"Butkiewicz, T.;Stevens, A.H.",,
SciVis,2015,7429490,,C,,"Matvienko, V.;Kruger, J.",1532853;4376173;4015421;346313;567784;964505;5290732;809892;1250362;1532781,
SciVis,2015,7192679,,T,,"Hanqi Guo;Phillips, C.L.;Peterka, T.;Karpeyev, D.;Glatz, A.",346327;1532795;6064972;809896;568137;745288;1372197;6327274;1532851;4376212,
SciVis,2015,7429491,,C,,"Zobel, V.;Stommel, M.;Scheuermann, G.",346326;5290754;485141;5613502;1372212,
SciVis,2015,7194851,,T,,"Kurzhals, K.;Hlawatsch, M.;Heimerl, F.;Burch, M.;Ertl, T.;Weiskopf, D.",6065006;6327295;1173156;6634139;4658146,
SciVis,2015,7192722,,T,,"Changgong Zhang;Schultz, T.;Lawonn, K.;Eisemann, E.;Vilanova, A.",7192624;4015499;5613480;745294;7042491;5613502,
SciVis,2015,7429515,,M,,"Zhang, J.;Guo, H.;Xiaoru Yuan",,
SciVis,2015,7192723,,T,,"Woodring, J.;Petersen, M.;Schmeisser, A.;Patchett, J.;Ahrens, J.;Hagen, H.",4658165;1532830;5613497;6064973,
SciVis,2015,7192700,,T,,"Sakurai, D.;Saeki, O.;Carr, H.;Hsiang-Yun Wu;Yamamoto, T.;Duke, D.;Takahashi, S.",4658159;663875;6327207;5613467;6875963;5613469;1183774;4658165;5290728;4376169,
SciVis,2015,7192674,,T,,"Gyulassy, A.;Knoll, A.;Chun Lau;Bei Wang",1532795;6064947;6875922;1532839;6064966,
SciVis,2015,7192682,,T,,"Jonsson, D.;Falk, M.;Ynnerman, A.",4658153;6064975;568112;6327240;5613470;6064940;4015460;6064959,
SciVis,2015,7429514,,M,,"Sunden, E.;Steneteg, P.;Kottravel, S.;Jonsson, D.;Englund, R.;Falk, M.;Ropinski, T.",,
SciVis,2015,7192629,,T,,"Athawale, T.;Sakhaee, E.;Entezari, A.",6634171;1183769;6634159;4376198;6327235;6634129,
SciVis,2015,7192686,,T,,"Labschütz, M.;Bruckner, S.;Groller, E.;Hadwiger, M.;Rautek, P.",6327233,
SciVis,2015,7194853,,T,,"Yi Gu;Chaoli Wang;Peterka, T.;Jacob, R.;Seung Hyun Kim",5290706;6634098;6064965;4658163;809871;4015447;5290726;4015461,
SciVis,2015,7192721,,T,,"Zhongjie Wang;Seidel, H.-P.;Weinkauf, T.",1250372;5290760;4015447;4376210;6875976;6064967,
SciVis,2015,7429508,,M,,"Jubair, M.I.;Alim, U.;Roeber, N.;Clyne, J.;Mahdavi-Amiri, A.;Samavati, F.",,
SciVis,2015,7192653,,T,,"Al-Awami, A.;Beyer, J.;Haehn, D.;Kasthuri, N.;Lichtman, J.;Pfister, H.;Hadwiger, M.",6875935;1532788;6634132;5290766;6327233;6875931;6634144;6876026;4376187,
SciVis,2015,7194839,,T,,"Lawonn, K.;Glaßer, S.;Vilanova, A.;Preim, B.;Isenberg, T.",5290742;6064983;6877722;5613474;6064980;1372190,
SciVis,2015,7429503,,M,,"Bock, A.;Marcinkowsk, M.i;Kilby, J.;Emmart, C.;Ynnerman, A.",,
SciVis,2015,7429512,,M,,"Nagoor, O.H.;Hadwiger, M.;Srinivasan, M.",,
SciVis,2015,7192698,,T,,"Marino, J.;Kaufman, A.",6064970;964540;6065015;6877722;964538;1372206;1183754;1250353;6064963;4015442,
SciVis,2015,7429505,,M,,"Elshehaly, M.;Gracanin, D.;Gad, M.;Wang, J.;Elmongui, H.G.",,
SciVis,2015,7192702,,T,,"Skanberg, R.;Vazquez, P.-P.;Guallar, V.;Ropinski, T.",4376193;5290730;4376194;6327210;5290753;6876051;4015487,
SciVis,2015,7429489,,C,,"Berge, C.S.Z.;Declara, D.;Hennersperger, C.;Baust, M.;Navab, N.",964550;4015499;4376198;6327255;5290731,
SciVis,2015,7210213,,T,,"Kappe, C.P.;Schutz, L.;Gunther, S.;Hufnagel, L.;Lemke, S.;Leitte, H.",5613499;567784;5290738;1250364;663898;1250363,
SciVis,2015,7192689,,T,,"Gunther, T.;Schulze, M.;Theisel, H.",6875993;1183789;6875965;6064972;6634153;809917;809896;745296;1532851;4376212;5613462,
SciVis,2015,7192675,,T,,"Ferstl, F.;Bürger, K.;Westermann, R.",4376173;885715;809863;6634122;4376198;6875964;1532779;5613483;809865;6634129,
SciVis,2015,7192730,,T,,"Wenchao Wu;Jiayi Xu;Haipeng Zeng;Yixian Zheng;Huamin Qu;Bing Ni;Mingxuan Yuan;Ni, L.M.",5652478;6634194;6876012;6634127;6065025;6634146;6875983;6102455;885091;6875974;6327262;6634174;7042490;6876013,
SciVis,2015,7429486,,C,,"Poco, J.;Doraiswamy, H.;Talbert, M.;Morisette, J.;Silva, C.T.",6064947;5613467;4658193;5290748;6634169;4658165;6064967;6634095;6875976;6064952;4376169,
SciVis,2015,7429487,,C,,"Bock, A.;Pembroke, A.;Mays, M.L.;Rastaetter, L.;Ropinski, T.;Ynnerman, A.",5613488;5613483;6634129,
SciVis,2015,7192672,,T,,"Chun-Ming Chen;Dutta, S.;Xiaotong Liu;Heinlein, G.;Han-Wei Shen;Jen-Ping Chen",175794;4376176;885739;6634111;6634153;1372195;1532830;6875987,
SciVis,2015,7185456,,T,,"Schroeder, D.;Keefe, D.F.",4677356;5290701;6634168;6065021;4658123;6634127;6875983;1173157;5290707;5613429;963286;6065019;6327262;6875972,
SciVis,2015,7429513,,M,,"Ware, C.;Stevens, A.H.",,
SciVis,2015,7429506,,M,,"Goldau, M.;Reichenbach, A.;Hlawitschka, M.",,
SciVis,2015,7192624,,T,,"Abbasloo, A.;Wiens, V.;Hermann, M.;Schultz, T.",5290759;5290754;1532773;4015482;4015499;5613502;4658185;4376179;7192722,
InfoVis,2015,7192699,,T,,"Rubio-Sanchez, M.;Raya, L.;Diaz, F.;Sanchez, A.",5652433;729568;663916;6634131;6875998;4658161,
InfoVis,2015,7192709,,T,,"Setlur, V.;Stone, M.C.",,
InfoVis,2015,7194845,,T,,"Jansen, Y.;Hornbaek, K.",6327257;6634103;6327283;6634126;4376134;6888482;6876021,
InfoVis,2015,7192693,,T,,"Simonetto, P.;Archambault, D.;Scheidegger, C.E.",6064991;6634104;5290706;6876017;5613447,
InfoVis,2015,7192636,,T,,"Byrne, L.;Angus, D.;Wiles, J.",6634103;5613455;1532122;6064988;4376133;5613452;1382903;6327280;4658138,
InfoVis,2015,7194854,,T,,"Yalcin, M.A.;Elmqvist, N.;Bederson, B.B.",6064991;6634104;6064996;5290706;4376143;4658148;1382886;4376146;4658145;6876017;5613447;6876026,
InfoVis,2015,7192724,,T,,"Yong Wang;Qiaomu Shen;Archambault, D.;Zhiguang Zhou;Min Zhu;Sixiao Yang;Huamin Qu",4015416;4015425;6327253;5332628;4658147;6327250,
InfoVis,2015,7192658,,T,,"Anand, A.;Talbot, J.",5652433;729568;6064985;4015421;5613439;5290704;1249006;4376133;4035766;885086;5332628;5613434;1532142,
InfoVis,2015,7192646,,T,,"Borkin, M.;Bylinskii, Z.;Nam Wook Kim;Bainbridge, C.M.;Yeh, C.S.;Borkin, D.;Pfister, H.;Oliva, A.",6327282;6634103;6065011;6327245;6064986;6634103;6327247;5653598;6327253;6327280,
InfoVis,2015,7192661,,T,,"Kay, M.;Heer, J.",6875978,
InfoVis,2015,7192677,,T,,"Johansson, J.;Forsell, C.",6875958;6064997;809866;6875978;1173157;6634108;1532138;5290704;1382895;1382884;6065022;663867,
InfoVis,2015,7192718,,T,,"Strobelt, H.;Oelke, D.;Bum Chul Kwon;Schreck, T.;Pfister, H.",6327290;4389004;6875959;4376133;6064990;5290723;6102453;528686,
InfoVis,2015,7192733,,T,,"Yoghourdjian, V.;Dwyer, T.;Gange, G.;Kieffer, S.;Klein, K.;Marriott, K.",4658137;6634098;4015435;5290700;1249009;7192690;6327253,
InfoVis,2015,7192690,,T,,"Kieffer, S.;Dwyer, T.;Marriott, K.;Wybrow, M.",4015416;6327251;6634098;4015435;5290700;4658145;4015425;6327253;4658147,
InfoVis,2015,7192668,,T,,"Sukwon Lee;Sung-Hee Kim;Ya-Hsin Hung;Lam, H.;Youn-ah Kang;Ji Soo Yi",6634103;6875906;5613431;6102435;6876022;5613437;6875967;5613452;4376144,
InfoVis,2015,7192720,,T,,"Ottley, A.;Peck, E.M.;Harrison, L.;Afergan, D.;Ziemkiewicz, C.;Taylor, H.A.;Han, P.K.J.;Chang, R.",6875913;5653587;6064988;6634182;6327259;5613452;1532836,
InfoVis,2015,7225156,,T,,"Brehmer, M.;Ng, J.;Tate, K.;Munzner, T.",6064996;6634168;4658136;6634166;6634146;5613429;4376151;6065017;6876000;6875995;5290695;6065016;6327248;801851;1532122,
InfoVis,2015,7192648,,T,,"Albo, Y.;Lanir, J.;Bak, P.;Rafaeli, S.",5613430;4658146,
InfoVis,2015,7192684,,T,,"Lehmann, D.J.;Theisel, H.",5652433;6102437;6064985;663916;6065024;6634131;5613468;4035766;1532142,
InfoVis,2015,7192696,,T,,"Raidou, R.G.;Eisemann, M.;Breeuwer, M.;Eisemann, E.;Vilanova, A.",729568;1382894;4015422;4376143;1532141;809866;6065025;6875978;1173157;1532138;5290704;485139;4015444;1382895;346302;1249008;567800;1249015;5290705,
InfoVis,2015,7192712,,T,,"McCurdy, N.;Lein, J.;Coles, K.;Meyer, M.",6064991;5290706;5333443;4658140;6065003;1532126;6327248;4389006;5290726;5290722;1173155;4658133;528686,
InfoVis,2015,7192695,,T,,"Stahnke, J.;Dörk, M.;Müller, B.;Thom, A.",6634124;6064988;5652392;146402;5290704;6327255;6876023;6634128;5290709;346302;4376132;1382891;528686,
InfoVis,2015,7192704,,T,,"Satyanarayan, A.;Russell, R.;Hoffswell, J.;Heer, J.",480821;5290720;6064996;5613453;6875985;6634137;5613437;567746_1;885086;1382904;7192728;4376144,
InfoVis,2015,7192681,,T,,"Cohé, A.;Liutkus, B.;Bailly, G.;Eagan, J.;Lecolinet, E.",1382906;6327253;1249008,
InfoVis,2015,7192707,,T,,"Roberts, J.C.;Headleand, C.;Ritsos, P.D.",5613460;885092;4015439;346304;6876000;5290695;6327248;1382903;6327281;4376144;4658138,
InfoVis,2015,7217849,,T,,"VanderPlas, S.;Hofmann, H.",6327249;6876021;5613434,
InfoVis,2015,7192666,,T,,"Hinrichs, U.;Forlini, S.;Moynihan, B.",6327285;6875900;4658131;4658128;4376134;6327248;4389006;5290726;4376131;5290722;4658133;4677370,
InfoVis,2015,7192637,,T,,"Boy, J.;Eveillard, L.;Detienne, F.;Fekete, J.",6875906;6634126;5613452;1532122,
InfoVis,2015,7192639,,T,,"Bach, B.;Conglei Shi;Heulot, N.;Madhyastha, T.;Grabowski, T.;Dragicevic, P.",6064991;4376143;1382886;6875930;6634087;1173155,
InfoVis,2015,7192735,,T,,"Walker, J.;Borgo, R.;Jones, M.W.",5290701;6875940;1532148;6065014;5613429;5613426;801860;6065009,
InfoVis,2015,7192713,,T,,"Loorak, M.H.;Perin, C.;Kamal, N.;Hill, M.;Carpendale, S.",1532136;4035762;6875996;6634100;6875988;1532152;5290711;6327272;4376144,
InfoVis,2015,7192691,,T,,"Strobelt, H.;Alsallakh, B.;Botros, J.;Peterson, B.;Borowsky, M.;Pfister, H.;Lex, A.",6634170;6634091;6876017,
InfoVis,2015,7192667,,T,,"Gschwandtner, T.;Bögl, M.;Federico, P.;Miksch, S.",6875915;6327255;1173145;5290731,
InfoVis,2015,7192708,,T,,"Thudt, A.;Baur, D.;Huron, S.;Carpendale, S.",5613450;4376134;6888482;1382897,
InfoVis,2015,7192701,,T,,"Scheepens, R.;Hurter, C.;van de Wetering, H.;van Wijk, J.J.",6064996;6064975;809905;745294,
InfoVis,2015,7192660,,T,,"Goodwin, S.;Dykes, J.;Slingsby, A.;Turkay, C.",4376135;6634166;4376146;6876047;6102448;6634169;6876043;5290702;6065022;6327268;6875987,
InfoVis,2015,7192710,,T,,"Quinan, P.S.;Meyer, M.",146361;1183788;6065017;5613483;6327248;6634129,
InfoVis,2015,7192728,,T,,"Wongsuphasawat, K.;Moritz, D.;Anand, A.;Mackinlay, J.;Howe, B.;Heer, J.",6875927;5290720;6064996;4376133;6876042;885086,
VAST,2014,7042488,,C,,"Accorsi, P.;Fabregue, M.;Sallaberry, A.;Cernesson, F.;Lalande, N.;Braud, A.;Bringay, S.;Le Ber, F.;Poncelet, P.;Teisseire, M.",568146;885097, 
VAST,2014,7042493,,C,,"Alexander, E.;Kohlmann, J.;Valenza, R.;Witmore, M.;Gleicher, M.",6102449;885098;729570;6065008;6065024;6400486;6102461;6634124;6634160;4389006;4389004,
VAST,2014,7042480,,C,,"Behrisch, M.;Korkmaz, F.;Lin Shao;Schreck, T.",1532142;6327290;5613439;6400486;4389001;6634192;6400488,
VAST,2014,7042492,,C,,"Bradel, L.;North, C.;House, l.;Leman, S.",6102449;6634115;6400559;6400486;528686;4389006,
VAST,2014,7042479,,C,,"Crnovrsanin, T.;Muelder, C.;Kwan-Liu Ma",6327252;5332596;1532138;745302;5332593,
VAST,2014,7042478,,C,,"Dietrich, C.;Koop, D.;Vo, H.T.;Silva, C.T.",6327288;6634087;6327272;964541_07,
VAST,2014,7042482,,C,,"Gomez, S.R.;Hua Guo;Ziemkiewicz, C.;Laidlaw, D.H.",6327245;4376141;6634168;5613456;6634108;1532136;5290702;6064996;5613428;6634156,
VAST,2014,7042477,,C,,"Janetzko, H.;Sacha, D.;Stein, M.;Schreck, T.;Deussen, O.;Keim, D.A.",6327288;4677350;4376136;6634174;6634194;6634165;6634195,
