1e journée, samedi 08/08/2009
Le Mans, Lyon, 2-2
Bordeaux, Lens, 4-1
Grenoble, Marseille, 0-2
Montpellier, Paris SG, 1-1
Lille, Lorient, 1-2
Monaco, Toulouse, 1-0
St Etienne, Nice, 0-2
Rennes, Boulogne/Mer, 3-0
Auxerre, Sochaux, 0-1
Valenciennes, Nancy, 1-3

2e journée, samedi 15/08/2009
Marseille, Lille, 1-0
Paris SG, Le Mans, 3-1
Lens, Auxerre, 2-0
Lyon, Valenciennes, 1-0
Nancy, Monaco, 4-0
Sochaux, Bordeaux, 2-3
Toulouse, St Etienne, 3-1
Boulogne/Mer, Grenoble, 2-1
Lorient, Montpellier, 2-2
Nice, Rennes, 1-1

3e journée, samedi 22/08/2009
Rennes, Marseille, 1-1
Grenoble, Lens, 1-2
Auxerre, Lyon, 0-3
Lille, Toulouse, 1-1
Valenciennes, Paris SG, 2-3
Monaco, Lorient, 2-0
Le Mans, Nancy, 2-1
Bordeaux, Nice, 4-0
St Etienne, Boulogne/Mer, 0-1
Montpellier, Sochaux, 2-0

4e journée, samedi 29/08/2009
Paris SG, Lille, 3-0
Marseille, Bordeaux, 0-0
Lens, Rennes, 2-2
Lyon, Nancy, 3-1
St Etienne, Grenoble, 1-0
Sochaux, Monaco, 1-0
Lorient, Le Mans, 1-0
Nice, Montpellier, 0-3
Boulogne/Mer, Auxerre, 0-0
Toulouse, Valenciennes, 0-1

5e journée, samedi 12/09/2009
Monaco, Paris SG, 2-0
Le Mans, Marseille, 1-2
Lyon, Lorient, 1-0
Montpellier, Lens, 1-0
Lille, Sochaux, 1-0
Bordeaux, Grenoble, 1-0
Rennes, St Etienne, 1-0
Auxerre, Nice, 2-0
Nancy, Toulouse, 0-0
Valenciennes, Boulogne/Mer, 1-1

6e journée, samedi 19/09/2009
Paris SG, Lyon, 1-1
Lens, Lille, 1-1
Marseille, Montpellier, 4-2
Toulouse, Le Mans, 2-0
Nice, Monaco, 1-3
Boulogne/Mer, Bordeaux, 0-2
Grenoble, Rennes, 0-4
St Etienne, Auxerre, 1-1
Lorient, Nancy, 3-1
Sochaux, Valenciennes, 2-5

7e journée, samedi 26/09/2009
Le Mans, Lens, 3-0
Lyon, Toulouse, 2-1
Monaco, St Etienne, 1-2
Lorient, Paris SG, 1-1
Valenciennes, Marseille, 3-2
Lille, Nice, 1-1
Bordeaux, Rennes, 1-0
Auxerre, Grenoble, 2-0
Montpellier, Boulogne/Mer, 1-0
Nancy, Sochaux, 2-1

8e journée, samedi 03/10/2009
Lens, Lyon, 0-2
Marseille, Monaco, 1-2
Paris SG, Nancy, 1-1
Boulogne/Mer, Lille, 2-3
St Etienne, Bordeaux, 3-1
Sochaux, Le Mans, 1-0
Grenoble, Montpellier, 2-3
Rennes, Auxerre, 0-1
Toulouse, Lorient, 0-1
Nice, Valenciennes, 3-2

9e journée, samedi 17/10/2009
Monaco, Lens, 2-0
Toulouse, Paris SG, 1-0
Lille, Rennes, 0-0
Lyon, Sochaux, 0-2
Nancy, Marseille, 0-3
Le Mans, Boulogne/Mer, 1-1
Montpellier, St Etienne, 2-1
Auxerre, Bordeaux, 1-0
Valenciennes, Grenoble, 2-0
Lorient, Nice, 4-1

10e journée, samedi 24/10/2009
Marseille, Paris SG, 1-0
Bordeaux, Le Mans, 3-0
Nice, Lyon, 4-1
Lens, Toulouse, 0-2
Auxerre, Lille, 3-2
Boulogne/Mer, Monaco, 1-3
Rennes, Montpellier, 3-0
St Etienne, Valenciennes, 0-2
Grenoble, Nancy, 1-2
Sochaux, Lorient, 1-0

11e journée, mercredi 16/12/2009
Paris SG, Lens, 1-1
Lille, St Etienne, 4-0
Lyon, Boulogne/Mer, 2-0
Lorient, Marseille, 1-2
Monaco, Rennes, 1-0
Le Mans, Grenoble, 1-0
Montpellier, Bordeaux, 0-1
Toulouse, Sochaux, 2-0
Nancy, Nice, 2-0
Valenciennes, Auxerre, 0-0

12e journée, samedi 31/10/2009
St Etienne, Lyon, 0-1
Bordeaux, Monaco, 1-0
Marseille, Toulouse, 1-1
Grenoble, Lille, 0-2
Sochaux, Paris SG, 1-4
Lens, Lorient, 1-1
Nice, Le Mans, 1-0
Auxerre, Montpellier, 2-1
Rennes, Valenciennes, 0-3
Boulogne/Mer, Nancy, 1-2

13e journée, samedi 07/11/2009
Lyon, Marseille, 5-5
Lille, Bordeaux, 2-0
Paris SG, Nice, 0-1
Monaco, Grenoble, 0-0
Sochaux, Lens, 1-2
Le Mans, Auxerre, 0-1
Nancy, St Etienne, 0-1
Toulouse, Rennes, 3-2
Lorient, Boulogne/Mer, 5-0
Valenciennes, Montpellier, 1-1

14e journée, samedi 21/11/2009
Grenoble, Lyon, 1-1
Boulogne/Mer, Paris SG, 2-5
Montpellier, Lille, 2-0
Marseille, Sochaux, 3-0
Lens, Nancy, 2-1
Rennes, Le Mans, 2-1
Auxerre, Monaco, 2-0
Bordeaux, Valenciennes, 0-1
St Etienne, Lorient, 0-2
Nice, Toulouse, 1-0

15e journée, samedi 28/11/2009
Lens, Marseille, 1-0
Lyon, Rennes, 1-1
Paris SG, Auxerre, 1-0
Le Mans, St Etienne, 1-1
Monaco, Montpellier, 4-0
Lille, Valenciennes, 4-0
Nancy, Bordeaux, 0-3
Lorient, Grenoble, 2-2
Toulouse, Boulogne/Mer, 1-0
Sochaux, Nice, 1-0

16e journée, samedi 05/12/2009
Lille, Lyon, 4-3
Bordeaux, Paris SG, 1-0
Nice, Marseille, 1-3
Boulogne/Mer, Lens, 2-1
Montpellier, Le Mans, 2-1
