venue,2012,2013,2014,2015,2016,2017,2018,2019
eurovis_short,,,,,1,,,
eurovis_star,,,,,,,,1
chi_wip,,,,1,1,,,
iss,,,,,1,,,
infovis,,,,,1,1,1,
pvis_workshop,,,,1,,,,
livvil,,,,,1,,,
visualcol,,,,,1,,,
transimage,,,,,,,1,
gi,,,,,,,1,
information_plus,,,,,,,1,
visap,,,,,,,1,
visguides,,,,,,,1,
