1e journée, samedi 07/08/2010
Lorient, Montpellier, 0-0
Lille, St Etienne, 1-1
Lyon, Auxerre, 1-1
Nancy, Paris SG, 2-0
Brest, Marseille, 0-0
Monaco, Sochaux, 2-1
Arles-Avignon, Nice, 0-0
Caen, Rennes, 1-0
Valenciennes, Toulouse, 2-1
Bordeaux, Lens, 2-2

20e journée, samedi 15/01/2011
Lens, St Etienne, 2-1
Lyon, Lorient, 3-0
Paris SG, Sochaux, 2-1
Nice, Lille, 0-2
Auxerre, Monaco, 1-1
Rennes, Arles-Avignon, 4-0
Toulouse, Nancy, 1-0
Montpellier, Valenciennes, 2-1
Brest, Caen, 1-3
Marseille, Bordeaux, 2-1

21e journée, samedi 29/01/2011
Arles-Avignon, Paris SG, 1-2
Valenciennes, Lyon, 2-1
St Etienne, Toulouse, 2-1
Sochaux, Rennes, 5-1
Caen, Auxerre, 2-0
Lorient, Brest, 2-0
Lille, Lens, 1-0
Bordeaux, Nice, 2-0
Nancy, Montpellier, 1-2
Monaco, Marseille, 0-0

22e journée, samedi 05/02/2011
Marseille, Arles-Avignon, 1-0
Lens, Valenciennes, 1-1
Montpellier, St Etienne, 1-2
Nice, Sochaux, 1-0
Caen, Lorient, 0-2
Brest, Nancy, 2-1
Rennes, Paris SG, 1-0
Auxerre, Lille, 1-1
Toulouse, Monaco, 2-0
Lyon, Bordeaux, 0-0

23e journée, samedi 12/02/2011
Paris SG, Lens, 0-0
Sochaux, Marseille, 1-2
Monaco, Lorient, 3-1
Bordeaux, Caen, 1-2
Arles-Avignon, Montpellier, 0-0
Nancy, Auxerre, 3-1
St Etienne, Lyon, 1-4
Rennes, Nice, 2-0
Valenciennes, Brest, 3-0
Lille, Toulouse, 2-0

24e journée, samedi 19/02/2011
Lyon, Nancy, 4-0
Marseille, St Etienne, 2-1
Lens, Sochaux, 2-3
Brest, Monaco, 2-0
Auxerre, Arles-Avignon, 1-1
Caen, Valenciennes, 2-2
Lorient, Bordeaux, 5-1
Montpellier, Lille, 1-0
Nice, Paris SG, 0-3
Toulouse, Rennes, 1-2

25e journée, samedi 26/02/2011
Rennes, Lens, 2-0
Monaco, Caen, 2-2
St Etienne, Nice, 0-2
Sochaux, Montpellier, 0-0
Arles-Avignon, Brest, 1-1
Valenciennes, Lorient, 0-0
Bordeaux, Auxerre, 3-0
Paris SG, Toulouse, 2-1
Nancy, Marseille, 1-2
Lille, Lyon, 1-1

26e journée, samedi 05/03/2011
Nice, Lens, 0-0
Valenciennes, Monaco, 0-0
Montpellier, Rennes, 0-1
Caen, St Etienne, 1-0
Toulouse, Sochaux, 0-1
Lorient, Nancy, 0-0
Auxerre, Paris SG, 1-0
Lyon, Arles-Avignon, 5-0
Brest, Bordeaux, 1-3
Marseille, Lille, 1-2

27e journée, samedi 12/03/2011
Rennes, Marseille, 0-2
Sochaux, Lyon, 0-2
Lens, Toulouse, 0-1
Arles-Avignon, Lorient, 3-3
St Etienne, Brest, 2-0
Nice, Auxerre, 1-0
Nancy, Caen, 2-0
Bordeaux, Monaco, 0-1
Lille, Valenciennes, 2-1
Paris SG, Montpellier, 2-2

28e journée, samedi 19/03/2011
Montpellier, Lens, 1-4
Brest, Lille, 1-2
Lorient, St Etienne, 0-0
Valenciennes, Bordeaux, 2-2
Toulouse, Nice, 1-1
Auxerre, Sochaux, 2-0
Lyon, Rennes, 1-1
Monaco, Nancy, 0-1
Caen, Arles-Avignon, 2-0
Marseille, Paris SG, 2-1

29e journée, samedi 02/04/2011
Paris SG, Lorient, 0-0
Arles-Avignon, Monaco, 0-2
Lille, Caen, 3-1
Nancy, Bordeaux, 0-0
Rennes, Auxerre, 0-0
Sochaux, Brest, 2-1
Toulouse, Montpellier, 0-1
Nice, Lyon, 2-2
St Etienne, Valenciennes, 1-1
Lens, Marseille, 0-1

30e journée, samedi 09/04/2011
Monaco, Lille, 1-0
Caen, Paris SG, 1-2
Bordeaux, Arles-Avignon, 0-0
Auxerre, St Etienne, 2-2
Lorient, Sochaux, 1-1
Valenciennes, Nancy, 1-1
Brest, Rennes, 2-0
Marseille, Toulouse, 2-2
Montpellier, Nice, 1-1
Lyon, Lens, 3-0

31e journée, samedi 16/04/2011
Nice, Monaco, 3-2
Lens, Brest, 1-1
St Etienne, Nancy, 2-1
Rennes, Lorient, 1-2
Toulouse, Auxerre, 0-1
Sochaux, Caen, 3-2
Lille, Bordeaux, 1-1
Montpellier, Marseille, 1-2
Arles-Avignon, Valenciennes, 0-1
Paris SG, Lyon, 1-0

